
 1:
"['Obrancov mieru', 'Duchnovièovo nám.', -23.366618]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -69.794318]"
"['Mukaèevská  *', 'Centrum', -107.482943]"
"['Centrum', 'Prostìjovská', -74.885027]"
"['Sídlisko III', 'Prostìjovská', -35.597967]"
"['Centrum', 'VUKOV', -56.336016]"
"['VUKOV', 'Mukaèevská  *', -34.671429]"
"['Jazdecká  *', 'Sabinovská', -59.925863]"
"['Sabinovská', 'Trojica', -87.919429]"
"['Trojica', 'Na Hlavnej', -66.991037]"
"['Na Hlavnej', 'Ve¾ká pošta', -36.36071]"
"['Ve¾ká pošta', 'Èierny most', -34.523148]"
"['Èierny most', 'eleznièná stanica', -90.912742]"
"['eleznièná stanica', 'Škára *', -90.796984]"
"['Lomnická', 'Švábska', -92.75942]"
"['Švábska', 'Chalupkova  *', -85.445667]"
"['Chalupkova  *', 'Košická  *', -100.090909]"
"['Košická  *', 'Novı Solivar  *', -84.503016]"
"['Novı Solivar  *', 'eleznièná stanica', -101.713308]"
"['Èierny most', 'Divadlo Jonáša Záborského', -104.887717]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -103.125737]"
"['Trojica', 'Bjornsonova  *', -94.345424]"
"['Bjornsonova  *', 'Jazdecká  *', -105.115768]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -85.172458]"
"['Poliklinika', 'Clementisova', -61.076095]"
"['Clementisova', 'Volgogradská', -42.881934]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -39.139438]"
"['Nám.Krá¾.pokoja', 'VUKOV', -32.270086]"
"['VUKOV', 'Centrum', -31.024181]"
"['Centrum', 'Prostìjovská', -36.133168]"
"['Pod Šalgovíkom', 'Vansovej', -18.69627]"
"['Vansovej', 'L.Novomeského', -75.2687]"
"['L.Novomeského', 'Martina Benku', -90.518986]"
"['Martina Benku', 'Pavla Horova', -91.53261]"
"['Pavla Horova', 'Lesnícka', -84.862459]"
"['Lesnícka', 'Škára *', -84.564005]"
"['Škára *', 'eleznièná stanica', -82.102619]"
"['eleznièná stanica', 'Èierny most', -66.250753]"
"['Èierny most', 'Divadlo Jonáša Záborského', -94.168657]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -87.852396]"
"['Na Hlavnej', 'Trojica', -51.038581]"
"['Na Hlavnej', 'Ve¾ká pošta', -10.001552]"
"['Ve¾ká pošta', 'Èierny most', -9.656585]"
"['Sídlisko III', 'Prostìjovská', -33.515885]"

11:
"['Poliklinika', 'Levoèská', -67.923886]"
"['Levoèská', 'Rázcestie Rúrky  *', -48.035971]"
"['Rázcestie Rúrky  *', 'J.Bereša  *', -28.837748]"
"['Na Rúrkach', 'J.Bereša  *', -34.936105]"
"['Poliklinika', 'Trojica', -74.014627]"
"['Trojica', 'Na Hlavnej', -44.678499]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -64.269276]"
"['Na Hlavnej', 'Ve¾ká pošta', -28.239612]"
"['Ve¾ká pošta', 'Èierny most', -31.377709]"
"['Èierny most', 'Rusínska  *', -100.61996]"
"['Rusínska  *', 'Eperia', -91.640244]"
"['Eperia', 'Martina Benku', -119.054432]"
"['Martina Benku', 'Pavla Horova', -89.274847]"
"['Pavla Horova', 'Lesnícka', -95.321429]"
"['Lesnícka', 'Suvorovova  *', -102.177601]"
"['Suvorovova  *', 'Cintorín Solivar *', -91.543326]"
"['Cintorín Solivar *', 'Na brehu  *', -81.81804]"
"['Na brehu  *', 'Pod Hrádkom  *', -82.451017]"
"['Pod Hrádkom  *', 'Valkovská  *', -76.311388]"
"['Solivar', 'Valkovská  *', -64.214149]"
"['Martina Benku', 'Rusínska  *', -89.257745]"
"['Rusínska  *', 'HOBBY PARK *', -67.0]"
"['HOBBY PARK *', 'Èierny most', -81.73289]"
"['Èierny most', 'Divadlo Jonáša Záborského', -78.367021]"

 7:
"['Èierny most', 'Štúrova  *', -65.085316]"
"['Štúrova  *', 'Priemyselné centrum  *', -30.754896]"
"['Priemyselné centrum  *', 'Pekárne  *', -43.307229]"
"['Trojica', 'Duklianska  *', -73.167932]"
"['Duklianska  *', 'Rázcestie Kúty  *', -44.432477]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -44.85148]"
"['Dopravnı podnik  *', '¼ubochnianska  *', -47.267523]"
"['¼ubochnianska  *', 'Strojnícka  *', -42.484344]"
"['Strojnícka  *', 'Drustevná  *', -40.308598]"
"['Širpo', 'Drustevná  *', -18.506631]"
"['Budovate¾ská', 'Pekárne  *', -26.082192]"
"['Trojica', 'Na Hlavnej', -43.836578]"
"['Na Hlavnej', 'Ve¾ká pošta', -50.419459]"
"['Ve¾ká pošta', 'Èierny most', -40.599727]"
"['Èierny most', 'Divadlo Jonáša Záborského', -49.959264]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -45.958025]"

45:
"['eleznièná stanica', 'Škára *', -76.104098]"
"['Škára *', 'Lomnická', -76.78065]"
"['Lomnická', 'Švábska', -67.313784]"
"['Švábska', 'Pionierska  *', -68.817046]"
"['Pionierska  *', 'Jesenná  *', -80.721256]"
"['Jesenná  *', 'Jelšová  *', -76.910678]"
"['eleznièná stanica', 'Èierny most', -56.590999]"
"['Èierny most', 'Divadlo Jonáša Záborského', -31.495568]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -46.693225]"
"['Na Hlavnej', 'Trojica', -46.845366]"
"['Trojica', 'Sabinovská', -67.094438]"
"['Sabinovská', 'Mièurinova  *', -79.774317]"
"['Mièurinova  *', 'Pod Skalkou  *', -66.555601]"
"['Pod Skalkou  *', 'Rázc.Šidlovec  *', -55.674188]"
"['Rázc.Šidlovec  *', 'Dúbrava  *', -60.616244]"
"['Dúbrava  *', 'Bikoš  *', -95.992694]"
"['Ve¾kı Šariš', 'Varoš  *', -27.807759]"
"['Varoš  *', 'Nám.sv.Jakuba  *', -82.83898]"
"['Nám.sv.Jakuba  *', 'Medulienka   *', -74.674659]"
"['Medulienka   *', 'Stanièná  *', -83.264135]"
"['Pivovar  *', 'Bikoš  *', -96.712647]"
"['Bikoš  *', 'Rázc.Šidlovec  *', -52.838557]"
"['Bikoš  *', 'Šariš park *', -70.099585]"
"['Šariš park *', 'Pivovar  *', -87.980024]"
"['Pivovar  *', 'Stanièná  *', -85.445289]"
"['Na Hlavnej', 'Ve¾ká pošta', -48.326853]"
"['Ve¾ká pošta', 'Èierny most', -49.316145]"
"['Delòa', 'Jelšová  *', -39.757229]"
"['Pivovar  *', 'Rázcestie Kanaš  *', 47.952381]"
"['Rázcestie Kanaš  *', 'Sordok  *', 60.131579]"
"['Sordok  *', 'Kozí rook  *', 60.612903]"
"['Kozí rook  *', 'Husí hrb  *', 49.126214]"
"['Husí hrb  *', 'Pri kostole  *', 64.681818]"
"['Pri kostole  *', 'Medzi jarkami  *', 43.537037]"
"['Medzi jarkami  *', 'Stará škola  *', 70.381818]"

21:
"['Dopravnı podnik  *', 'Rázcestie Kúty  *', -50.684466]"
"['Rázcestie Kúty  *', 'Duklianska  *', -53.497404]"
"['Trojica', 'Na Hlavnej', -65.315436]"
"['Na Hlavnej', 'Grešova  *', -47.523633]"
"['Grešova  *', 'Fakultná nemocnica', -51.993089]"
"['Fakultná nemocnica', 'Detská nemocnica', -25.748945]"
"['Detská nemocnica', 'Rázcestie Kúty  *', -43.296278]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -35.304422]"
"['Šarišské Lúky  *', 'Vranovská  *', -39.833166]"
"['Nová  *', 'Fintická  *', -22.574705]"
"['Fintická  *', 'Iš¾a  *', -25.558209]"
"['Grib¾ovec  *', 'Ihrisko  *', -36.683555]"
"['Ihrisko  *', 'Èervenı mostík  *', -34.134503]"
"['Èervenı mostík  *', 'Nám. J.Kolarèíka  *', -36.780419]"
